Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Demon Days,album,Gorillaz,Gorillaz,True,Gorillaz - Feel Good Inc. (Official Video),Feel Good Inc.,True
Plastic Beach,album,Gorillaz,Gorillaz,True,Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video),Rhinestone Eyes,True
New Gold (feat. Tame Impala and Bootie Brown),single,Gorillaz,Gorillaz,True,Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser),New Gold (feat. Tame Impala and Bootie Brown),True
Plastic Beach,album,Gorillaz,Gorillaz,True,Gorillaz - On Melancholy Hill (Official Video),On Melancholy Hill,True
Gorillaz,album,Gorillaz,Gorillaz,True,Gorillaz - Clint Eastwood (Official Video),Clint Eastwood,True
Demon Days,album,Gorillaz,Gorillaz,True,Gorillaz - DARE (Official Video),DARE,True
New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,Gorillaz,Dom Dolla,False,"Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video)",New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,True
Humanz (Deluxe),album,Gorillaz,SalvaMuñox,False,Gorillaz - She's My Collar [HQ],She's My Collar (feat. Kali Uchis),False
Cracker Island (feat. Thundercat),single,Gorillaz,Gorillaz,True,Gorillaz - Cracker Island ft. Thundercat (Official Video),Cracker Island (feat. Thundercat),True
Demon Days,album,Gorillaz,Gorillaz,True,Gorillaz - Dirty Harry (Official Video),Dirty Harry,True
Californication (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],Californication,True
Blood Sugar Sex Magik (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Under The Bridge [Official Music Video],Under the Bridge,True
By the Way (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Can't Stop [Official Music Video],Can't Stop,True
Californication (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Scar Tissue [Official Music Video],Scar Tissue,True
Californication (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Otherside [Official Music Video],Otherside,True
Stadium Arcadium,album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video),Snow (Hey Oh),True
Stadium Arcadium,album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Dani California [Official Music Video],Dani California,True
By the Way (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - By The Way [Official Music Video],By the Way,True
Blood Sugar Sex Magik (Deluxe Edition),album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Give It Away [Official Music Video],Give It Away,True
The Getaway,album,Red Hot Chili Peppers,Red Hot Chili Peppers,True,Red Hot Chili Peppers - Dark Necessities [Official Music Video],Dark Necessities,True
Get Rich Or Die Tryin',album,50 Cent,50CentVEVO,True,50 Cent - In Da Club (Official Music Video),In Da Club,True
The Massacre,album,50 Cent,50CentVEVO,True,50 Cent - Candy Shop (Official Music Video) ft. Olivia,Candy Shop,True
