Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.00836,169907.0,0.818,222640.0,0.705,0.00233,6.0,6220896.0,0.613,-6.679,0.177,1040234854.0,138.559,0.772,693555221.0
0.0869,31003.0,0.676,200173.0,0.703,0.000687,8.0,1079128.0,0.0463,-5.815,0.0302,310083733.0,92.761,0.852,72011645.0
0.0425,7399.0,0.695,215150.0,0.923,0.0469,1.0,282142.0,0.116,-3.93,0.0522,63063467.0,108.014,0.551,8435055.0
1.51e-05,55229.0,0.689,233867.0,0.739,0.509,2.0,1788577.0,0.064,-5.81,0.026,434663559.0,120.423,0.578,211754952.0
0.0253,155930.0,0.663,340920.0,0.694,0.0,10.0,6197318.0,0.0698,-8.627,0.171,617259738.0,167.953,0.525,618480958.0
0.0229,72008.0,0.76,245000.0,0.891,0.0869,11.0,1844658.0,0.298,-5.852,0.0372,323850327.0,120.264,0.966,259021161.0
0.012,241.0,0.716,274142.0,0.897,0.262,4.0,11686.0,0.325,-7.185,0.0629,10666154.0,127.03,0.358,451996.0
0.00799,260.0,0.726,209560.0,0.815,0.081,11.0,17675.0,0.112,-5.886,0.0313,159605929.0,140.158,0.462,1010982.0
0.00343,20296.0,0.741,213750.0,0.913,0.103,2.0,739527.0,0.325,-3.34,0.0465,42671901.0,120.012,0.643,24459820.0
0.0315,39240.0,0.625,230426.0,0.877,0.0811,10.0,1386920.0,0.672,-7.176,0.162,191074713.0,192.296,0.865,154761056.0
0.0021,121452.0,0.592,329733.0,0.767,0.00165,9.0,4394471.0,0.127,-2.788,0.027,1055738398.0,96.483,0.328,1018811259.0
0.0576,32761.0,0.559,264307.0,0.345,0.000105,4.0,1213572.0,0.141,-13.496,0.0459,1061750522.0,84.581,0.458,246687714.0
0.0179,32573.0,0.618,269000.0,0.938,0.0,9.0,1740224.0,0.167,-3.442,0.0456,866464951.0,91.455,0.875,336635759.0
0.0779,37069.0,0.595,215907.0,0.717,0.00274,0.0,1890900.0,0.108,-4.803,0.0295,613838674.0,88.969,0.547,435121530.0
0.00316,60091.0,0.458,255373.0,0.795,0.000202,0.0,3140356.0,0.0756,-3.265,0.0574,732774515.0,123.229,0.513,673528656.0
0.116,37004.0,0.427,334667.0,0.9,1.75e-05,11.0,1272266.0,0.119,-3.674,0.0499,860722316.0,104.655,0.599,320871237.0
0.0193,49461.0,0.556,282160.0,0.913,8.59e-06,0.0,1456622.0,0.346,-2.36,0.0437,550067391.0,96.184,0.73,324228662.0
0.0264,20084.0,0.451,216933.0,0.97,0.00355,0.0,784717.0,0.102,-4.938,0.107,367485508.0,122.444,0.198,179005296.0
0.00244,16029.0,0.666,282907.0,0.936,0.086,7.0,434837.0,0.153,-9.919,0.0476,301947159.0,91.577,0.776,86637926.0
0.0722,56516.0,0.7,302000.0,0.742,0.0199,5.0,2094182.0,0.11,-6.777,0.0716,385677873.0,91.959,0.197,440037964.0
0.26,296745.0,0.902,193467.0,0.72,0.0,6.0,10481678.0,0.0749,-2.776,0.347,1041736808.0,90.059,0.805,1682616458.0
0.0253,113251.0,0.614,209107.0,0.574,3.2e-05,11.0,5014527.0,0.38,-7.961,0.466,701248893.0,125.173,0.755,838974650.0
0.0322,42075.0,0.489,237707.0,0.692,0.00608,1.0,2523312.0,0.315,-6.672,0.41,395155110.0,96.946,0.527,476133463.0
0.0444,60552.0,0.7,249467.0,0.758,1.3e-05,10.0,3334710.0,0.0401,-3.012,0.342,541728561.0,78.693,0.889,572659065.0
0.0153,84117.0,0.653,256227.0,0.826,0.00146,6.0,2765887.0,0.131,-2.93,0.354,332175400.0,108.52,0.416,441155628.0
0.206,12038.0,0.925,214227.0,0.659,7.88e-05,3.0,382791.0,0.279,-4.763,0.231,202477187.0,97.018,0.71,39825951.0
0.353,54805.0,0.576,224427.0,0.807,0.000363,6.0,2759199.0,0.0512,-3.908,0.317,446003044.0,90.012,0.908,503248572.0
0.0714,9008.0,0.853,212013.0,0.776,0.0,8.0,245935.0,0.181,-4.221,0.261,28529840.0,94.028,0.659,5289821.0
0.244,14.0,0.892,196640.0,0.631,0.0,11.0,612.0,0.0235,-2.522,0.302,210473579.0,93.975,0.838,46096.0
0.368,46.0,0.545,254493.0,0.64,0.0,10.0,5729.0,0.111,-3.529,0.308,160037992.0,181.733,0.574,291023.0
0.00277,81335.0,0.566,331560.0,0.834,0.008,6.0,2828795.0,0.0625,-8.412,0.0298,,123.296,0.621,573553706.0
0.0522,135946.0,0.547,388733.0,0.394,6.4e-06,4.0,5127599.0,0.0795,-9.793,0.0262,,142.37,0.17,1209806093.0
0.00067,1703.0,0.539,515387.0,0.828,0.421,4.0,293409.0,0.154,-9.108,0.035,,105.25,0.562,20762910.0
5.36e-06,12074.0,0.511,304893.0,0.972,0.00101,10.0,429797.0,0.19,-3.751,0.0413,327681785.0,132.97,0.532,107553434.0
0.0184,46392.0,0.531,387160.0,0.583,0.00624,7.0,1781690.0,0.255,-9.47,0.0256,,139.503,0.207,426125708.0
0.000668,1.0,0.438,446146.0,0.687,0.0801,7.0,18.0,0.42,-9.15,0.0619,,103.01,0.426,524.0
0.00631,667.0,0.512,309973.0,0.86,0.00528,0.0,274106.0,0.0652,-6.145,0.0703,,117.909,0.258,23666398.0
1.15e-05,46230.0,0.386,205680.0,0.996,0.000836,11.0,473751.0,0.116,-2.96,0.0754,20061385.0,130.573,0.188,14937918.0
0.000926,15110.0,0.624,324600.0,0.876,0.00164,7.0,418124.0,0.0561,-6.005,0.0342,,89.24,0.453,72737062.0
2.42e-05,17225.0,0.425,330453.0,0.972,0.0202,4.0,217109.0,0.239,-3.448,0.045,3905429.0,101.125,0.282,4317758.0
0.00239,118296.0,0.429,266773.0,0.661,0.000121,11.0,4600933.0,0.234,-7.227,0.0281,1483622308.0,173.372,0.285,832532409.0
0.0954,261790.0,0.486,242373.0,0.617,3.23e-06,5.0,4370461.0,0.109,-7.115,0.0287,1325575712.0,138.015,0.417,789581468.0
0.748,1637.0,0.371,227093.0,0.268,0.0517,1.0,787343.0,0.104,-10.506,0.0281,475353044.0,102.617,0.165,73201019.0
0.0498,270444.0,0.617,247160.0,0.635,1.44e-05,11.0,10282499.0,0.164,-6.769,0.0317,2030825694.0,103.019,0.446,2118018686.0
0.731,124357.0,0.557,309600.0,0.442,1.46e-05,5.0,5532787.0,0.11,-7.224,0.0243,1465980600.0,146.277,0.213,1082588109.0
0.00617,79974.0,0.545,267867.0,0.675,0.00197,6.0,3741300.0,0.209,-6.474,0.0279,1021782403.0,124.97,0.162,786404613.0
0.0509,343020.0,0.449,278719.0,0.585,8.75e-05,5.0,8497224.0,0.0833,-6.761,0.0268,927288329.0,139.631,0.212,1665814269.0
0.211,377666.0,0.491,258267.0,0.693,6.92e-06,0.0,13515772.0,0.325,-6.487,0.0377,1049654852.0,90.027,0.412,1828242112.0
0.0114,432726.0,0.573,226198.0,0.711,0.0,1.0,8867547.0,0.328,-6.268,0.0406,883224238.0,105.006,0.47,254655970.0
0.164,114460.0,0.209,295533.0,0.417,0.00196,3.0,2962029.0,0.113,-8.74,0.0338,1115171056.0,138.178,0.124,566239229.0
0.0426,19646.0,0.794,248413.0,0.811,1.07e-06,6.0,956073.0,0.101,-8.966,0.038,844698895.0,116.047,0.862,32310867.0
0.0194,110189.0,0.613,320357.0,0.697,0.0,2.0,2707992.0,0.332,-8.618,0.133,471747761.0,122.746,0.476,432177586.0
0.0422,87115.0,0.775,337560.0,0.585,0.619,10.0,3111505.0,0.077,-9.516,0.0271,460589724.0,109.942,0.518,606828966.0
